"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time","S_Around_Per_Total","S_Monitor_Per_Total","S_Keyboard_Per_Total","S_Face_Per_Total","S_CompOnly_Per_Total","S_NoFace_Per_Total","S_BodyOnly_Per_Total","S_Speak_Per_Total"
"44",56,5157,18,569,253,594,3741,151.291666666667,137.666666666667,192.541666666667,634.792156862745,231.653571428571,198.483333333333,1105.11666666667,135,135,163,519.5,183,177.5,1095.5,67.1345143570456,28.4969125210773,83.6259670820482,478.827348560589,109.817940670307,78.5281353179652,444.987146705032,25,11,24,59,54,34,42,242,168,306,1384,436,332,1756,86,110,112,132,136,120,601,5157,0,0,0,0,5157,0,0,0,0,0,5157,5157,0,0,0,0,0,5157,0,0,0,0,0,0,0,9,0,0,0,0,0,9,5157,0,0,0,0,0,5157,5157,0,0,0,0,0,5157,847,1416,3994,11.0335466356409,4.90595307349234,11.5183246073298,72.5421756835369,16.4242776808222,27.4578243164631,77.4481287570293,0
"45",57,3317,18,317,69,1273,1658,179.5,69,427.071428571429,563.55,550.254761904762,450.638095238095,1830.83333333333,179.5,69,423.5,513,541.5,433,1836.5,116.5,0,213.803984025075,165.435410223018,348.073748969728,204.695185092551,432.67896727616,6,5,26,30,30,27,17,296,69,668,811,948,694,2280,63,69,190,412,182,228,1376,3064,0,253,0,0,2539,0,253,0,0,253,2539,2539,0,253,0,0,253,2539,378,0,0,0,0,0,378,12,0,4,0,0,4,12,2917,0,253,0,0,253,2917,2161,0,253,0,0,253,2161,1342,1659,1727,9.55682845945131,2.08019294543262,38.3780524570395,49.9849261380766,40.4582454024721,50.0150738619234,52.0651190835092,7.62737413325294
"46",58,3118,14,862,535,17,1704,466.5,253,17,451.7,470.916666666667,240.833333333333,457.116666666667,476.5,260,17,406.5,450.5,244.5,406.5,174.981484769988,86.3527000944073,0,255.353483755689,355.841413021909,95.1033830550851,248.652385594739,14,14,2,26,23,16,26,647,338,17,846,900,338,846,276,161,17,178,84,135,195,3107,0,11,0,0,3107,0,11,0,0,11,3107,3107,0,11,0,0,11,3107,0,0,0,0,0,0,0,7,0,1,0,0,1,7,3107,0,11,0,0,11,3107,3107,0,11,0,0,11,3107,552,1414,2239,27.6459268762027,17.1584348941629,0.545221295702373,54.650416933932,17.7036561898653,45.349583066068,71.8088518280949,0.352790250160359
"47",59,1952,12,348,56,568,980,141.733333333333,43,251.333333333333,318.266666666667,344.75,264.166666666667,534.85,133,43,264,321,341.5,274.5,498.5,38.0872274700741,5,89.0782880472677,147.470829314921,95.0445022667165,73.5448499488855,335.331461290078,13,4,15,24,21,17,21,189,48,341,515,471,341,936,102,38,149,163,238,179,180,1934,0,18,0,0,1934,0,18,0,0,18,1934,1934,0,18,0,0,18,1934,0,0,0,0,0,0,0,6,0,3,0,0,3,6,1934,0,18,0,0,18,1934,1934,0,18,0,0,18,1934,624,972,1036,17.827868852459,2.86885245901639,29.0983606557377,50.2049180327869,31.9672131147541,49.7950819672131,53.0737704918033,0.922131147540984
"48",60,2414,16,197,164,60,1993,130.5,114.5,60,1150.23333333333,182.516666666667,119.25,1200.25,130.5,115.5,60,1108,179.5,118,1061,14.5,10.9162979278837,0,289.533777958872,38.8959190309363,19.6998563206527,382.929578938874,8,10,4,22,20,14,20,145,127,60,1493,234,143,1692,116,101,60,864,142,98,862,2312,0,102,0,0,2312,0,102,0,0,102,2312,2312,0,102,0,0,102,2312,0,0,0,0,0,0,0,8,0,5,0,0,5,8,2312,0,102,0,0,102,2312,2312,0,102,0,0,102,2312,224,421,2157,8.16072908036454,6.7937033968517,2.48550124275062,82.5600662800331,9.27920463960232,17.4399337199669,89.3537696768848,4.22535211267606
"49",61,3542,14,1077,608,563,1294,337.233333333333,368.25,292.25,257.940476190476,499.285714285714,327.214285714286,431.589285714286,333.5,366,294,206.5,415,274.5,402,167.159703728076,57.3324071360102,89.839386094955,148.706660749385,373.795764211934,191.78673472398,208.401723807141,20,14,16,36,35,27,32,605,431,385,504,1112,587,788,175,307,198,102,106,121,223,3542,0,0,0,0,3542,0,0,0,0,0,3542,3542,0,0,0,0,0,3542,0,0,0,0,0,0,0,7,0,0,0,0,0,7,3542,0,0,0,0,0,3542,3542,0,0,0,0,0,3542,1171,2248,1902,30.4065499717674,17.1654432523998,15.8949745906268,36.5330321852061,33.0604178430265,63.4669678147939,53.6984754376059,0
"50",63,2357,14,301,21,923,1112,262,21,383.666666666667,351.4,369.416666666667,379.166666666667,1573.5,262,21,323,259.5,333,318.5,1573.5,31,0,164.715771320789,246.068259495774,192.978548660744,167.564240549138,239.5,7,1,17,23,24,18,10,293,21,593,702,614,593,1813,231,21,235,128,166,226,1334,1898,0,459,0,0,1708,0,459,0,0,459,1708,1708,0,459,0,0,459,1708,167,0,0,0,0,0,167,8,0,5,0,0,5,8,1875,0,459,0,0,459,1875,1541,0,459,0,0,459,1541,944,1245,1133,12.7704709376326,0.890963088672041,39.1599490878235,47.1786168858719,40.0509121764955,52.8213831141281,48.0695799745439,19.473907509546
"51",64,4195,18,2569,834,237,555,1409.16666666667,458.666666666667,192,233.333333333333,1595.08333333333,467.5,355.25,1325.5,439,192,217,1413,444.5,319,344.710821729755,192.959231558162,24,70.5875048135301,889.04621390375,269.458471355073,114.939933536924,19,13,6,21,25,17,21,1865,664,216,322,2713,759,505,1047,273,168,161,727,199,243,4151,0,44,0,0,4151,0,44,0,0,44,4151,4151,0,44,0,0,44,4151,0,0,0,0,0,0,0,9,0,1,0,0,1,9,4151,0,44,0,0,44,4151,4151,0,44,0,0,44,4151,1071,3640,1389,61.2395709177592,19.880810488677,5.64958283671037,13.2300357568534,25.5303933253874,86.7699642431466,33.1108462455304,1.04886769964243
"52",65,1938,12,46,85,505,1302,37,85,167.4,287.75,173.833333333333,179,1175.16666666667,37,85,156.5,263.5,177.5,185.5,1168.5,3,0,85.995783545458,179.113889776887,86.8992722769658,87.427199463302,314.73253882728,3,2,19,28,22,20,11,40,85,269,577,285,285,1507,34,85,78,87,69,78,850,1836,0,102,0,0,1519,0,102,0,0,102,1519,1519,0,102,0,0,102,1519,236,0,0,0,0,0,236,8,0,3,0,0,3,8,1755,0,102,0,0,102,1755,1283,0,102,0,0,102,1283,590,636,1387,2.37358101135191,4.3859649122807,26.0577915376677,67.1826625386997,30.4437564499484,32.8173374613003,71.5686274509804,5.26315789473684
"53",66,4124,12,1345,662,804,1313,212.194444444444,176.866666666667,164.966666666667,186.656818181818,376.873088023088,198.327380952381,330.608974358974,172,167,153,122.5,250,161,320,123.581935633696,89.2793780643793,61.9951757379775,138.585751044849,362.477539889591,120.224963249029,229.814991503924,33,21,26,42,41,42,41,430,304,261,425,1175,440,673,89,77,90,41,76,73,67,4093,0,31,0,0,3956,0,31,0,0,31,3956,3956,0,31,0,0,31,3956,123,0,0,0,0,0,123,7,0,1,0,0,1,7,4079,0,31,0,0,31,4079,3833,0,31,0,0,31,3833,1466,2811,1975,32.6139670223084,16.0523763336566,19.4956353055286,31.8380213385063,35.5480116391853,68.1619786614937,47.8903976721629,0.751697381183317
