"dyad","clip","conv","minu","raid","rsex","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","speaking","contribution","content","tsex","power","enunciated","chillness","presence","motherease","calmness","dominance","responsivity"
23,2,2,3,2,1,5,5,3,5,4,2,4,5,7,6,6,6,6,6,5,6,51,1,1,4.5,6,4,28.5,2,6,5,6
23,3,3,1,2,1,4,4,3,5,4,1,4,5,7,6,5,6,6,5,4,48,48,1,1,4.25,6,3.5,48,1,5,4,5.75
23,4,3,2,2,1,4,5,3,4,3,1,4,5,7,6,5,6,5,3,3,31,37,1,1,4,6,3.5,34,1,5,3,5
24,1,1,3,2,1,5,5,3,5,5,1,5,6,7,6,6,6,7,7,5,72,75,1,0,5,6.5,4,73.5,1,6,5,6.5
24,2,2,3,2,1,5,5,3,5,4,1,5,6,7,6,5,6,6,7,6,85,85,1,0,4.75,6.5,4,85,1,5,6,6.25
24,3,3,1,2,1,5,5,3,5,4,1,4,5,7,6,6,6,6,6,3,30,25,1,0,4.5,6,4,27.5,1,6,3,6
24,4,3,2,2,1,4,5,3,5,4,1,4,5,7,6,6,6,6,5,3,40,35,1,0,4.5,6,3.5,37.5,1,6,3,5.75
25,1,1,3,2,1,4,4,3,5,5,1,3,4,6,6,6,5,5,5,3,30,40,2,1,4.25,5,3.5,35,1,6,3,5.25
25,2,2,3,2,1,4,5,4,4,5,1,4,4,7,4,5,4,4,5,3,10,32,3,1,4.5,5.5,4,21,1,5,3,4.25
25,3,3,1,2,1,4,4,4,4,5,1,3,4,6,5,5,5,5,5,3,39,39,2,1,4,5,4,39,1,5,3,5
25,4,3,2,2,1,4,3,3,5,4,1,4,3,7,6,5,6,6,6,4,40,40,2,1,4,5,3.5,40,1,5,4,6
26,1,1,3,2,1,5,4,5,5,6,1,5,3,5,6,5,5,3,5,4,68,45,3,1,5,4,5,56.5,1,5,4,4.75
26,2,2,3,2,1,5,5,5,6,6,1,5,3,4,6,4,5,4,4,4,85,55,2,1,5.5,3.5,5,70,1,4,4,4.75
26,3,3,1,2,1,6,5,5,5,5,1,5,4,5,5,6,5,6,6,5,65,63,1,1,5,4.5,5.5,64,1,6,5,5.5
26,4,3,2,2,1,6,6,5,6,5,1,5,5,6,7,6,6,6,7,4,41,30,1,1,5.5,5.5,5.5,35.5,1,6,4,6.5
27,1,1,3,2,1,3,3,4,3,4,1,3,4,6,3,5,3,4,3,3,20,15,2,0,3.25,5,3.5,17.5,1,5,3,3.25
27,2,2,3,2,1,3,2,4,3,4,1,3,5,7,3,5,3,4,3,2,10,10,1,0,3,6,3.5,10,1,5,2,3.25
27,3,3,1,2,1,4,3,4,4,3,1,3,5,7,4,5,3,4,4,3,30,18,2,0,3.25,6,4,24,1,5,3,3.75
27,4,3,2,2,1,3,4,4,4,4,1,4,5,7,6,5,5,5,5,4,39,48,1,0,4,6,3.5,43.5,1,5,4,5.25
28,1,1,3,2,1,5,5,4,3,5,1,3,5,7,6,5,6,6,5,5,31,41,2,1,4,6,4.5,36,1,5,5,5.75
28,2,2,3,2,1,5,3,4,3,4,2,4,5,6,6,4,6,4,5,6,17,72,1,1,3.5,5.5,4.5,44.5,2,4,6,5.25
28,3,3,1,2,1,4,5,4,5,4,1,5,5,7,6,6,5,5,5,3,32,29,1,1,4.75,6,4,30.5,1,6,3,5.25
28,4,3,2,2,1,5,4,4,5,4,1,4,5,6,6,5,5,5,6,4,39,39,1,1,4.25,5.5,4.5,39,1,5,4,5.5
29,1,1,3,2,1,3,3,2,4,3,1,4,5,6,4,5,4,4,5,4,21,40,1,1,3.5,5.5,2.5,30.5,1,5,4,4.25
29,2,2,3,2,1,3,4,1,5,4,1,5,5,6,4,5,4,4,4,3,7,36,1,1,4.5,5.5,2,21.5,1,5,3,4
29,3,3,1,2,1,6,5,2,5,5,1,5,6,7,6,6,6,6,6,5,52,52,1,1,5,6.5,4,52,1,6,5,6
29,4,3,2,2,1,5,5,2,5,4,1,5,6,7,6,6,6,6,6,5,42,42,1,1,4.75,6.5,3.5,42,1,6,5,6
30,1,1,3,2,1,5,4,3,4,4,1,4,5,7,6,5,6,6,6,5,70,65,2,0,4,6,4,67.5,1,5,5,6
30,2,2,3,2,1,5,4,3,4,4,1,4,5,7,6,6,6,7,7,5,80,85,2,0,4,6,4,82.5,1,6,5,6.5
30,3,3,1,2,1,5,5,3,5,5,1,4,5,7,6,6,6,6,6,5,52,55,1,0,4.75,6,4,53.5,1,6,5,6
30,4,3,2,2,1,5,5,3,4,4,1,4,5,7,6,6,7,6,6,4,48,45,1,0,4.25,6,4,46.5,1,6,4,6.25
31,1,1,3,2,1,2,2,5,2,4,1,3,4,2,4,3,3,4,4,2,18,27,2,1,2.75,3,3.5,22.5,1,3,2,3.75
31,2,2,3,2,1,3,2,2,4,3,2,2,3,3,4,3,3,4,3,3,19,63,2,1,2.75,3,2.5,41,2,3,3,3.5
31,3,3,1,2,1,2,1,2,3,2,1,3,3,6,3,5,3,3,2,3,8,18,3,1,2.25,4.5,2,13,1,5,3,2.75
31,4,3,2,2,1,2,2,2,2,3,1,2,3,4,2,5,2,3,2,2,7,9,2,1,2.25,3.5,2,8,1,5,2,2.25
32,1,1,3,2,1,5,4,3,3,3,1,2,4,3,6,5,6,5,5,2,31,20,1,1,3,3.5,4,25.5,1,5,2,5.5
32,2,2,3,2,1,4,4,3,3,4,1,3,3,2,4,4,4,5,5,2,58,12,1,1,3.5,2.5,3.5,35,1,4,2,4.5
32,3,3,1,2,1,5,4,4,5,5,1,5,5,6,7,7,6,6,6,3,31,27,1,1,4.75,5.5,4.5,29,1,7,3,6.25
32,4,3,2,2,1,5,5,4,5,4,1,5,5,5,5,5,6,6,6,3,33,19,2,1,4.75,5,4.5,26,1,5,3,5.75
33,1,1,3,2,1,6,6,3,6,5,3,5,6,7,6,3,6,6,5,5,38,67,3,1,5.5,6.5,4.5,52.5,3,3,5,5.75
33,2,2,3,2,1,6,5,4,5,3,4,5,6,6,6,7,6,6,5,5,19,48,3,1,4.5,6,5,33.5,4,7,5,5.75
33,3,3,1,2,1,5,6,3,6,5,1,6,7,7,7,7,6,6,6,5,62,65,1,1,5.75,7,4,63.5,1,7,5,6.25
33,4,3,2,2,1,4,5,3,5,3,1,5,6,6,6,7,7,7,5,5,32,41,1,1,4.5,6,3.5,36.5,1,7,5,6.25
34,1,1,3,2,1,5,6,3,6,6,1,6,6,7,7,6,7,7,7,6,40,70,2,1,6,6.5,4,55,1,6,6,7
34,2,2,3,2,1,5,5,3,5,5,2,4,5,4,7,6,6,6,6,5,8,82,1,1,4.75,4.5,4,45,2,6,5,6.25
34,3,3,1,2,1,5,5,3,6,6,1,5,6,3,6,6,6,6,7,5,40,40,2,1,5.5,4.5,4,40,1,6,5,6.25
34,4,3,2,2,1,5,5,3,4,5,1,4,5,5,6,5,5,6,5,5,38,38,1,1,4.5,5,4,38,1,5,5,5.5
35,1,1,3,2,1,5,5,3,6,4,1,5,6,7,6,6,7,6,7,5,76,70,1,0,5,6.5,4,73,1,6,5,6.5
35,2,2,3,2,1,5,5,3,5,4,1,4,6,7,6,6,6,7,6,6,79,83,1,0,4.5,6.5,4,81,1,6,6,6.25
35,3,3,1,2,1,5,5,3,6,4,1,5,6,7,7,6,7,6,7,6,89,87,1,0,5,6.5,4,88,1,6,6,6.75
35,4,3,2,2,1,5,5,3,6,4,1,5,5,7,7,6,6,6,7,6,76,76,1,0,5,6,4,76,1,6,6,6.5
36,1,1,3,2,1,4,4,3,5,4,1,4,5,5,6,5,6,6,5,3,58,48,1,1,4.25,5,3.5,53,1,5,3,5.75
36,2,2,3,2,1,4,5,3,4,4,1,5,5,5,6,5,5,5,5,3,65,38,2,1,4.5,5,3.5,51.5,1,5,3,5.25
36,3,3,1,2,1,3,4,3,3,4,1,3,4,5,6,5,5,6,5,2,22,15,1,1,3.5,4.5,3,18.5,1,5,2,5.5
36,4,3,2,2,1,3,4,3,3,4,1,3,4,5,4,5,3,5,4,2,23,10,1,1,3.5,4.5,3,16.5,1,5,2,4
37,1,1,3,2,1,4,5,4,3,4,1,3,5,7,6,4,6,6,6,4,40,45,3,1,3.75,6,4,42.5,1,4,4,6
37,2,2,3,2,1,5,4,5,4,4,1,4,4,7,6,3,6,6,5,4,12,64,2,1,4,5.5,5,38,1,3,4,5.75
37,3,3,1,2,1,5,5,5,5,5,1,5,6,7,6,6,6,5,6,3,39,39,3,1,5,6.5,5,39,1,6,3,5.75
37,4,3,2,2,1,6,5,5,5,6,1,5,6,7,7,6,7,6,6,5,47,47,1,1,5.25,6.5,5.5,47,1,6,5,6.5
38,1,1,3,2,1,4,5,4,5,5,1,4,5,6,5,5,6,6,6,4,46,37,1,0,4.75,5.5,4,41.5,1,5,4,5.75
38,2,2,3,2,1,4,4,4,4,4,1,3,4,6,5,6,5,6,6,3,56,35,1,0,3.75,5,4,45.5,1,6,3,5.5
38,3,3,1,2,1,4,5,4,5,5,1,4,5,7,6,6,6,6,7,6,83,82,1,0,4.75,6,4,82.5,1,6,6,6.25
38,4,3,2,2,1,4,5,4,5,4,1,5,5,7,6,6,6,6,6,5,62,70,1,0,4.75,6,4,66,1,6,5,6
39,1,1,3,2,1,4,5,4,5,4,1,3,6,7,6,6,6,6,5,4,28,39,2,1,4.25,6.5,4,33.5,1,6,4,5.75
39,2,2,3,2,1,4,4,5,4,4,2,3,4,7,5,4,6,6,5,4,19,81,1,1,3.75,5.5,4.5,50,2,4,4,5.5
39,3,3,1,2,1,4,5,5,6,4,1,4,6,7,4,5,5,5,5,2,31,32,1,1,4.75,6.5,4.5,31.5,1,5,2,4.75
39,4,3,2,2,1,5,5,4,5,4,1,4,6,7,6,6,6,6,6,4,40,40,2,1,4.5,6.5,4.5,40,1,6,4,6
40,1,1,3,2,1,4,3,5,3,3,1,3,5,6,6,3,6,7,6,3,28,38,3,1,3,5.5,4.5,33,1,3,3,6.25
40,2,2,3,2,1,3,2,5,2,5,2,3,3,6,6,2,5,6,6,3,8,41,2,1,3,4.5,4,24.5,2,2,3,5.75
40,3,3,1,2,1,3,3,4,3,5,1,3,3,6,5,4,5,5,5,2,18,20,2,1,3.5,4.5,3.5,19,1,4,2,5
40,4,3,2,2,1,3,3,4,4,4,1,3,4,6,6,5,5,6,6,4,60,72,2,1,3.5,5,3.5,66,1,5,4,5.75
41,1,1,3,2,1,4,3,4,3,3,2,3,6,7,4,3,5,5,4,3,30,41,2,1,3,6.5,4,35.5,2,3,3,4.5
41,2,2,3,2,1,4,3,3,2,3,3,2,5,3,5,4,5,5,5,6,11,62,2,1,2.5,4,3.5,36.5,3,4,6,5
41,3,3,1,2,1,4,4,3,3,3,1,4,5,5,6,5,5,6,6,3,41,40,1,1,3.5,5,3.5,40.5,1,5,3,5.75
