Dyad,Cov,SectionStartTime,GazeID,Start,End,Duration,GazeType,S+H_NoSound_Overall_Time,S+H_Sound_Overall_Time,S+H_NoSound_Mean,S+H_Sound_Mean,S+H_NoSound_Median,S+H_Sound_Median,S+H_NoSound_PopularSD,S+H_Sound_PopularSD,S+H_NoSound_Frequency,S+H_Sound_Frequency,S+H_NoSound_Max,S+H_Sound_Max,S+H_NoSound_Min,S+H_Sound_Min
1,1,0,32,1393,1444,52,4,52.0,0.0,52.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,52.0,0.0,52.0,0.0
1,1,0,33,1445,1456,12,3,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,0.0
1,1,0,34,1457,1518,62,4,62.0,0.0,62.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,62.0,0.0,62.0,0.0
1,1,0,35,1519,1527,9,3,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,0,36,1528,1591,64,4,64.0,0.0,64.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0,64.0,0.0,64.0,0.0
1,1,0,37,1592,1660,69,3,16.0,53.0,16.0,53.0,16.0,53.0,0.0,0.0,1.0,1.0,16.0,53.0,16.0,53.0
1,1,0,38,1661,1919,259,4,206.0,53.0,206.0,53.0,206.0,53.0,0.0,0.0,1.0,1.0,206.0,53.0,206.0,53.0
1,1,0,39,1920,1928,9,3,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,0,40,1929,1949,21,4,21.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,21.0,0.0
1,1,0,41,1950,1983,34,3,34.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,34.0,0.0
1,1,0,42,1984,2007,24,4,24.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,24.0,0.0
1,1,0,43,2008,2052,45,3,45.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,45.0,0.0
1,1,0,44,2053,2066,14,2,14.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,14.0,0.0
1,1,0,45,2067,2079,13,1,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,13.0,0.0
1,1,0,46,2080,2087,8,4,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0
1,1,0,47,2088,2102,15,1,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0
1,1,0,48,2103,2126,24,3,24.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,24.0,0.0
1,1,0,49,2127,2134,8,2,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0
1,1,0,50,2135,2146,12,4,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,0.0
1,1,0,51,2147,2253,107,3,102.0,5.0,102.0,5.0,102.0,5.0,0.0,0.0,1.0,1.0,102.0,5.0,102.0,5.0
1,1,0,52,2254,2291,38,4,0.0,38.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,38.0
1,1,0,53,2292,2335,44,3,0.0,44.0,0.0,44.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,44.0
1,1,0,54,2336,2351,16,2,0.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0
1,1,0,55,2352,2520,169,4,11.0,158.0,11.0,79.0,11.0,79.0,0.0,73.0,1.0,2.0,11.0,152.0,11.0,6.0
1,1,0,56,2521,2542,22,1,0.0,22.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,22.0
1,1,0,57,2543,2664,122,4,66.0,56.0,66.0,56.0,66.0,56.0,0.0,0.0,1.0,1.0,66.0,56.0,66.0,56.0
1,1,0,58,2665,2685,21,3,21.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,21.0,0.0
1,1,0,59,2686,2713,28,4,28.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,28.0,0.0
1,1,0,60,2714,2744,31,1,31.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,31.0,0.0
1,1,0,61,2745,2753,9,4,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,0,62,2754,2780,27,1,27.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,27.0,0.0
1,1,0,63,2781,2788,8,4,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0
1,1,0,64,2789,2827,39,3,39.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,39.0,0.0
1,1,0,65,2828,2837,10,4,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
1,1,0,66,2838,2855,18,2,18.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,18.0,0.0
1,1,0,67,2856,2872,17,3,17.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,17.0,0.0
1,1,0,68,2873,2888,16,4,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,0,69,2889,2897,9,1,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,0,70,2898,2937,40,4,40.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,40.0,0.0
1,1,0,71,2938,2947,10,3,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
1,1,0,72,2948,2988,41,4,41.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,41.0,0.0,41.0,0.0
1,1,0,73,2989,2995,7,1,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0
1,1,0,74,2996,2999,4,4,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0
1,1,3000,0,3000,3037,38,4,38.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,38.0,0.0
1,1,3000,1,3038,3061,24,3,24.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,24.0,0.0
1,1,3000,2,3062,3075,14,4,14.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,14.0,0.0
1,1,3000,3,3076,3088,13,1,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,13.0,0.0
1,1,3000,4,3089,3105,17,4,17.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,17.0,0.0
1,1,3000,5,3106,3141,36,3,36.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,36.0,0.0
1,1,3000,6,3142,3162,21,2,21.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,21.0,0.0
1,1,3000,7,3163,3178,16,4,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,3000,8,3179,3269,91,1,91.0,0.0,91.0,0.0,91.0,0.0,0.0,0.0,1.0,0.0,91.0,0.0,91.0,0.0
1,1,3000,9,3270,3310,41,4,27.0,14.0,27.0,14.0,27.0,14.0,0.0,0.0,1.0,1.0,27.0,14.0,27.0,14.0
1,1,3000,10,3311,3341,31,2,0.0,31.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,31.0
1,1,3000,11,3342,3373,32,4,0.0,32.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,32.0
1,1,3000,12,3374,3382,9,3,0.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0
1,1,3000,13,3383,3586,204,4,27.0,177.0,27.0,88.5,27.0,88.5,0.0,28.5,1.0,2.0,27.0,117.0,27.0,60.0
1,1,3000,14,3587,3601,15,2,0.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,15.0
1,1,3000,15,3602,3613,12,4,0.0,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0
1,1,3000,16,3614,3629,16,1,0.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0
1,1,3000,17,3630,3734,105,4,84.0,21.0,84.0,21.0,84.0,21.0,0.0,0.0,1.0,1.0,84.0,21.0,84.0,21.0
1,1,3000,18,3735,3746,12,3,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,0.0
1,1,3000,19,3747,3756,10,4,2.0,8.0,2.0,8.0,2.0,8.0,0.0,0.0,1.0,1.0,2.0,8.0,2.0,8.0
1,1,3000,20,3757,3771,15,3,0.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,15.0
1,1,3000,21,3772,3790,19,4,3.0,16.0,3.0,16.0,3.0,16.0,0.0,0.0,1.0,1.0,3.0,16.0,3.0,16.0
1,1,3000,22,3791,3813,23,2,23.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,23.0,0.0
1,1,3000,23,3814,3905,92,4,92.0,0.0,92.0,0.0,92.0,0.0,0.0,0.0,1.0,0.0,92.0,0.0,92.0,0.0
1,1,3000,24,3906,3934,29,3,29.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,29.0,0.0
1,1,3000,25,3935,4063,129,4,50.0,79.0,25.0,39.5,25.0,39.5,7.0,21.5,2.0,2.0,32.0,61.0,18.0,18.0
1,1,3000,26,4064,4088,25,1,12.0,13.0,12.0,13.0,12.0,13.0,0.0,0.0,1.0,1.0,12.0,13.0,12.0,13.0
1,1,3000,27,4089,4104,16,4,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,3000,28,4105,4132,28,3,28.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,28.0,0.0
1,1,3000,29,4133,4145,13,4,1.0,12.0,1.0,12.0,1.0,12.0,0.0,0.0,1.0,1.0,1.0,12.0,1.0,12.0
1,1,3000,30,4146,4157,12,2,0.0,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0
1,1,3000,31,4158,4166,9,4,0.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0
1,1,3000,32,4167,4182,16,3,0.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0
1,1,3000,33,4183,4200,18,4,13.0,5.0,13.0,5.0,13.0,5.0,0.0,0.0,1.0,1.0,13.0,5.0,13.0,5.0
1,1,3000,34,4201,4208,8,1,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0
1,1,3000,35,4209,4387,179,4,163.0,16.0,81.5,16.0,81.5,16.0,67.5,0.0,2.0,1.0,149.0,16.0,14.0,16.0
1,1,3000,36,4388,4430,43,3,2.0,41.0,2.0,41.0,2.0,41.0,0.0,0.0,1.0,1.0,2.0,41.0,2.0,41.0
1,1,3000,37,4431,4490,60,4,56.0,4.0,56.0,2.0,56.0,2.0,0.0,0.0,1.0,2.0,56.0,2.0,56.0,2.0
1,1,3000,38,4491,4529,39,1,23.0,16.0,23.0,16.0,23.0,16.0,0.0,0.0,1.0,1.0,23.0,16.0,23.0,16.0
1,1,3000,39,4530,4605,76,4,32.0,44.0,32.0,44.0,32.0,44.0,0.0,0.0,1.0,1.0,32.0,44.0,32.0,44.0
1,1,3000,40,4606,4635,30,1,12.0,18.0,12.0,18.0,12.0,18.0,0.0,0.0,1.0,1.0,12.0,18.0,12.0,18.0
1,1,3000,41,4636,4721,86,4,86.0,0.0,86.0,0.0,86.0,0.0,0.0,0.0,1.0,0.0,86.0,0.0,86.0,0.0
1,1,3000,42,4722,4732,11,3,11.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0
1,1,3000,43,4733,4748,16,1,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,3000,44,4749,4804,56,4,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,56.0,0.0,56.0,0.0
1,1,3000,45,4805,4820,16,3,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,3000,46,4821,4853,33,4,33.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,33.0,0.0
1,1,3000,47,4854,4862,9,2,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,3000,48,4863,4877,15,4,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0
1,1,3000,49,4878,4906,29,2,29.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,29.0,0.0
1,1,3000,50,4907,4968,62,4,62.0,0.0,62.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,62.0,0.0,62.0,0.0
1,1,3000,51,4969,4984,16,1,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,3000,52,4985,4997,13,4,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,13.0,0.0
1,1,3000,53,4998,5059,62,3,62.0,0.0,62.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,62.0,0.0,62.0,0.0
1,1,3000,54,5060,5103,44,4,44.0,0.0,44.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,44.0,0.0
1,1,3000,55,5104,5117,14,2,14.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,14.0,0.0
1,1,3000,56,5118,5163,46,1,24.0,22.0,24.0,22.0,24.0,22.0,0.0,0.0,1.0,1.0,24.0,22.0,24.0,22.0
1,1,3000,57,5164,5414,251,4,62.0,189.0,62.0,94.5,62.0,94.5,0.0,6.5,1.0,2.0,62.0,101.0,62.0,88.0
1,1,3000,58,5415,5434,20,2,11.0,9.0,11.0,9.0,11.0,9.0,0.0,0.0,1.0,1.0,11.0,9.0,11.0,9.0
1,1,3000,59,5435,5601,167,4,109.0,58.0,54.5,58.0,54.5,58.0,24.5,0.0,2.0,1.0,79.0,58.0,30.0,58.0
1,1,3000,60,5602,5611,10,2,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
1,1,3000,61,5612,5641,30,4,30.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,30.0,0.0
1,1,3000,62,5642,5648,7,1,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0
1,1,3000,63,5649,5660,12,4,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,0.0
1,1,3000,64,5661,5672,12,3,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,0.0
1,1,3000,65,5673,5679,7,4,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0
1,1,3000,66,5680,5710,31,1,31.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,31.0,0.0
1,1,3000,67,5711,5724,14,4,14.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,14.0,0.0
1,1,3000,68,5725,5755,31,2,31.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,31.0,0.0
1,1,3000,69,5756,5765,10,4,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
1,1,3000,70,5766,5827,62,1,62.0,0.0,62.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,62.0,0.0,62.0,0.0
1,1,3000,71,5828,5843,16,4,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,3000,72,5844,5916,73,3,73.0,0.0,73.0,0.0,73.0,0.0,0.0,0.0,1.0,0.0,73.0,0.0,73.0,0.0
1,1,3000,73,5917,5954,38,4,38.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,38.0,0.0
1,1,3000,74,5955,5983,29,2,29.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,29.0,0.0
1,1,3000,75,5984,5999,16,4,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,6000,0,6000,6021,22,4,22.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,22.0,0.0
1,1,6000,1,6022,6061,40,1,40.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,40.0,0.0
1,1,6000,2,6062,6072,11,4,11.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0
1,1,6000,3,6073,6092,20,3,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,20.0,0.0
1,1,6000,4,6093,6101,9,1,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,6000,5,6102,6119,18,4,18.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,18.0,0.0
1,1,6000,6,6120,6129,10,2,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
1,1,6000,7,6130,6142,13,1,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,13.0,0.0
1,1,6000,8,6143,6180,38,3,38.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,38.0,0.0
1,1,6000,9,6181,6197,17,4,17.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,17.0,0.0
1,1,6000,10,6198,6234,37,1,37.0,0.0,37.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,37.0,0.0
1,1,6000,11,6235,6274,40,4,40.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,40.0,0.0
1,1,6000,12,6275,6304,30,3,5.0,25.0,5.0,25.0,5.0,25.0,0.0,0.0,1.0,1.0,5.0,25.0,5.0,25.0
1,1,6000,13,6305,6343,39,4,0.0,39.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,39.0
1,1,6000,14,6344,6447,104,2,0.0,104.0,0.0,104.0,0.0,104.0,0.0,0.0,0.0,1.0,0.0,104.0,0.0,104.0
1,1,6000,15,6448,6458,11,4,0.0,11.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,11.0
1,1,6000,16,6459,6465,7,2,2.0,5.0,2.0,5.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,5.0
1,1,6000,17,6466,6841,376,4,122.0,254.0,40.666666666666664,127.0,31.0,127.0,18.080068829760823,93.0,3.0,2.0,66.0,220.0,25.0,34.0
1,1,6000,18,6842,6848,7,3,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0
1,1,6000,19,6849,6936,88,4,88.0,0.0,88.0,0.0,88.0,0.0,0.0,0.0,1.0,0.0,88.0,0.0,88.0,0.0
1,1,6000,20,6937,6942,6,1,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,0.0
1,1,6000,21,6943,6969,27,4,27.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,27.0,0.0
1,1,6000,22,6970,6985,16,3,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0
1,1,6000,23,6986,7120,135,4,135.0,0.0,135.0,0.0,135.0,0.0,0.0,0.0,1.0,0.0,135.0,0.0,135.0,0.0
1,1,6000,24,7121,7148,28,3,28.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,28.0,0.0
1,1,6000,25,7149,7160,12,4,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,0.0
1,1,6000,26,7161,7178,18,1,18.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,18.0,0.0
1,1,6000,27,7179,7200,22,4,22.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,22.0,0.0
1,1,6000,28,7201,7229,29,1,29.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,29.0,0.0
1,1,6000,29,7230,7243,14,4,14.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,14.0,0.0
1,1,6000,30,7244,7251,8,1,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0
