Dyad,Conv,Timid,Yielding,Awkward,Shy,Meek
61.0,1.0,46.0,54.0,41.0,35.0,42.0
61.0,2.0,48.0,53.0,46.0,42.0,42.0
61.0,3.0,38.0,44.0,34.0,30.0,30.0
62.0,1.0,51.0,57.0,43.0,39.0,43.0
62.0,2.0,39.0,44.0,53.0,40.0,40.0
62.0,3.0,34.0,49.0,34.0,32.0,34.0
63.0,1.0,55.0,56.0,47.0,56.0,54.0
63.0,2.0,52.0,55.0,43.0,47.0,51.0
63.0,3.0,54.0,56.0,36.0,32.0,49.0
64.0,1.0,45.0,55.0,44.0,43.0,46.0
64.0,2.0,49.0,51.0,48.0,51.0,46.0
64.0,3.0,39.0,58.0,31.0,34.0,36.0
65.0,1.0,58.0,58.0,41.0,48.0,52.0
65.0,2.0,43.0,52.0,44.0,44.0,42.0
65.0,3.0,36.0,51.0,40.0,38.0,40.0
66.0,1.0,57.0,61.0,57.0,56.0,52.0
66.0,2.0,50.0,55.0,52.0,51.0,50.0
66.0,3.0,48.0,61.0,40.0,42.0,43.0
67.0,1.0,63.0,60.0,54.0,62.0,61.0
67.0,2.0,56.0,57.0,55.0,55.0,54.0
67.0,3.0,62.0,50.0,49.0,61.0,57.0
68.0,1.0,62.0,57.0,52.0,60.0,59.0
68.0,2.0,50.0,59.0,56.0,59.0,53.0
68.0,3.0,51.0,57.0,50.0,64.0,62.0
69.0,1.0,51.0,47.0,46.0,46.0,46.0
69.0,2.0,52.0,58.0,54.0,54.0,49.0
69.0,3.0,41.0,46.0,38.0,34.0,36.0
70.0,1.0,53.0,59.0,51.0,57.0,55.0
70.0,2.0,52.0,59.0,46.0,42.0,45.0
70.0,3.0,52.0,58.0,50.0,44.0,47.0
71.0,1.0,50.0,55.0,41.0,40.0,46.0
71.0,2.0,45.0,55.0,40.0,42.0,45.0
71.0,3.0,34.0,55.0,39.0,30.0,35.0
72.0,1.0,48.0,56.0,46.0,44.0,44.0
72.0,2.0,52.0,54.0,54.0,55.0,48.0
72.0,3.0,50.0,52.0,46.0,40.0,41.0
73.0,1.0,62.0,59.0,62.0,59.0,56.0
73.0,2.0,54.0,56.0,57.0,59.0,50.0
73.0,3.0,57.0,57.0,56.0,61.0,59.0
74.0,1.0,47.0,57.0,44.0,47.0,47.0
74.0,2.0,56.0,61.0,51.0,55.0,51.0
74.0,3.0,42.0,54.0,36.0,36.0,35.0
75.0,1.0,58.0,59.0,56.0,58.0,59.0
75.0,2.0,55.0,58.0,53.0,53.0,46.0
75.0,3.0,60.0,57.0,56.0,65.0,60.0
76.0,1.0,49.0,51.0,60.0,46.0,47.0
76.0,2.0,47.0,56.0,51.0,46.0,48.0
76.0,3.0,34.0,45.0,45.0,34.0,37.0
77.0,1.0,55.0,58.0,53.0,55.0,50.0
77.0,2.0,49.0,56.0,55.0,58.0,52.0
77.0,3.0,40.0,47.0,49.0,40.0,39.0
78.0,1.0,55.0,65.0,52.0,52.0,52.0
78.0,2.0,54.0,60.0,54.0,52.0,50.0
78.0,3.0,49.0,56.0,36.0,53.0,53.0
79.0,1.0,61.0,61.0,62.0,60.0,61.0
79.0,2.0,47.0,53.0,62.0,57.0,50.0
79.0,3.0,55.0,57.0,57.0,49.0,52.0
80.0,1.0,48.0,63.0,52.0,51.0,51.0
80.0,2.0,49.0,57.0,51.0,50.0,43.0
80.0,3.0,49.0,58.0,47.0,43.0,46.0
