Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,10,2398,3336,939,7,200.0,70.0,149.0,520.0,28.571428571428573,23.333333333333332,21.285714285714285,34.666666666666664,27.933333333333334,27.375,60.81818181818182,22.0,21.0,21.0,28.0,24.0,27.5,53.0,26.832055151878873,5.5577773335110221,12.279067969682457,30.209637902865079,21.797451431047822,16.131781519720629,43.287239736057806,7.0,3.0,7.0,15.0,15.0,8.0,11.0,91.0,31.0,39.0,122.0,91.0,57.0,171.0,7.0,18.0,2.0,8.0,2.0,2.0,9.0,709.0,0.0,230.0,0.0,0.0,354.5,0.0,230.0,0.0,0.0,230.0,354.5,354.5,0.0,230.0,0.0,0.0,230.0,354.5,343.5,0.0,0.0,0.0,0.0,0.0,343.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,698.0,0.0,230.0,0.0,0.0,230.0,698.0,11.0,0.0,230.0,0.0,0.0,230.0,11.0
1,1,0,11,3337,3539,203,6,0.0,0.0,7.0,196.0,0.0,0.0,7.0,196.0,7.0,7.0,203.0,0.0,0.0,7.0,196.0,7.0,7.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,196.0,7.0,7.0,203.0,0.0,0.0,7.0,196.0,7.0,7.0,203.0,203.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,203.0,203.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,203.0,0.0,0.0,0.0,0.0,0.0,203.0,203.0,0.0,0.0,0.0,0.0,0.0,203.0
1,1,0,12,3540,3788,249,7,16.0,38.0,27.0,168.0,16.0,19.0,13.5,28.0,16.199999999999999,16.25,48.75,16.0,19.0,13.5,13.0,15.0,15.0,13.0,0.0,4.0,1.5,34.607320998116379,3.6551333764994132,4.0850336595920478,64.843561746714684,1.0,2.0,2.0,6.0,5.0,4.0,4.0,16.0,23.0,15.0,105.0,23.0,23.0,161.0,16.0,15.0,12.0,8.0,12.0,12.0,8.0,125.0,0.0,124.0,0.0,0.0,62.5,0.0,124.0,0.0,0.0,124.0,62.5,62.5,0.0,124.0,0.0,0.0,124.0,62.5,35.5,0.0,0.0,0.0,0.0,0.0,35.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,98.0,0.0,124.0,0.0,0.0,124.0,98.0,27.0,0.0,124.0,0.0,0.0,124.0,27.0
1,1,0,13,3789,3827,39,6,0.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0
1,1,0,14,3828,3992,165,7,0.0,0.0,29.0,136.0,0.0,0.0,29.0,68.0,29.0,29.0,165.0,0.0,0.0,29.0,68.0,29.0,29.0,165.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,29.0,97.0,29.0,29.0,165.0,0.0,0.0,29.0,39.0,29.0,29.0,165.0,165.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,165.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,165.0
1,1,0,15,3993,4053,61,6,25.0,0.0,0.0,36.0,25.0,0.0,0.0,18.0,25.0,0.0,18.0,25.0,0.0,0.0,18.0,25.0,0.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,25.0,0.0,0.0,32.0,25.0,0.0,32.0,25.0,0.0,0.0,4.0,25.0,0.0,4.0,61.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0
1,1,0,16,4054,4173,120,7,8.0,12.0,44.0,56.0,8.0,12.0,22.0,11.199999999999999,16.0,18.666666666666668,33.333333333333336,8.0,12.0,22.0,12.0,14.0,16.0,43.0,0.0,0.0,6.0,4.6216880033165371,7.4833147735478827,6.7986926847903799,21.139746660943903,1.0,1.0,2.0,5.0,4.0,3.0,3.0,8.0,12.0,28.0,18.0,28.0,28.0,53.0,8.0,12.0,16.0,4.0,8.0,12.0,4.0,89.0,0.0,31.0,0.0,0.0,44.5,0.0,31.0,0.0,0.0,31.0,44.5,44.5,0.0,31.0,0.0,0.0,31.0,44.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,57.0,0.0,31.0,0.0,0.0,31.0,57.0,32.0,0.0,31.0,0.0,0.0,31.0,32.0
1,1,0,17,4174,4227,54,6,0.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0
1,1,0,18,4228,4429,202,7,0.0,0.0,43.0,159.0,0.0,0.0,43.0,79.5,43.0,43.0,202.0,0.0,0.0,43.0,79.5,43.0,43.0,202.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,43.0,121.0,43.0,43.0,202.0,0.0,0.0,43.0,38.0,43.0,43.0,202.0,186.0,0.0,16.0,0.0,0.0,93.0,0.0,16.0,0.0,0.0,16.0,93.0,93.0,0.0,16.0,0.0,0.0,16.0,93.0,58.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,151.0,0.0,16.0,0.0,0.0,16.0,151.0,35.0,0.0,16.0,0.0,0.0,16.0,35.0
1,1,0,19,4430,4472,43,6,21.0,0.0,0.0,22.0,21.0,0.0,0.0,22.0,21.0,0.0,22.0,21.0,0.0,0.0,22.0,21.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,0.0,0.0,22.0,21.0,0.0,22.0,21.0,0.0,0.0,22.0,21.0,0.0,22.0,43.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0
