Dyad,Cov,SectionStartTime,SoundID,Start,End,Duration,SoundType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min
77,1,0,15,1105,1164,60,3,0.0,45.0,0.0,15.0,0.0,45.0,0.0,15.0,45.0,45.0,0.0,45.0,0.0,15.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,45.0,0.0,15.0,45.0,45.0,0.0,45.0,0.0,15.0,45.0,45.0
77,1,0,16,1165,1188,24,1,11.0,13.0,0.0,0.0,11.0,13.0,0.0,0.0,24.0,13.0,11.0,13.0,0.0,0.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0,13.0,0.0,0.0,24.0,13.0,11.0,13.0,0.0,0.0,24.0,13.0
77,1,0,17,1189,1220,32,3,9.0,0.0,0.0,23.0,9.0,0.0,0.0,23.0,9.0,0.0,9.0,0.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,23.0,9.0,0.0,9.0,0.0,0.0,23.0,9.0,0.0
77,1,0,18,1221,1361,141,1,0.0,0.0,66.0,75.0,0.0,0.0,66.0,37.5,66.0,66.0,0.0,0.0,66.0,37.5,66.0,66.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,66.0,64.0,66.0,66.0,0.0,0.0,66.0,11.0,66.0,66.0
77,1,0,19,1362,1410,49,3,19.0,0.0,0.0,30.0,19.0,0.0,0.0,30.0,19.0,0.0,19.0,0.0,0.0,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,30.0,19.0,0.0,19.0,0.0,0.0,30.0,19.0,0.0
77,1,0,20,1411,1437,27,1,3.0,20.0,0.0,4.0,3.0,20.0,0.0,4.0,23.0,20.0,3.0,20.0,0.0,4.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,20.0,0.0,4.0,23.0,20.0,3.0,20.0,0.0,4.0,23.0,20.0
77,1,0,21,1438,1525,88,3,0.0,15.0,0.0,73.0,0.0,15.0,0.0,73.0,15.0,15.0,0.0,15.0,0.0,73.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,0.0,73.0,15.0,15.0,0.0,15.0,0.0,73.0,15.0,15.0
77,1,0,22,1526,1708,183,1,30.0,18.0,9.0,126.0,30.0,18.0,9.0,42.0,19.0,13.5,30.0,18.0,9.0,19.0,18.0,13.5,0.0,0.0,0.0,33.23652609203716,8.6023252670426267,4.5,1.0,1.0,1.0,3.0,3.0,2.0,30.0,18.0,9.0,89.0,30.0,18.0,30.0,18.0,9.0,18.0,9.0,9.0
77,1,0,23,1709,1770,62,3,0.0,30.0,0.0,32.0,0.0,30.0,0.0,32.0,30.0,30.0,0.0,30.0,0.0,32.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,0.0,32.0,30.0,30.0,0.0,30.0,0.0,32.0,30.0,30.0
77,1,0,24,1771,1791,21,1,12.0,9.0,0.0,0.0,12.0,9.0,0.0,0.0,21.0,9.0,12.0,9.0,0.0,0.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,9.0,0.0,0.0,21.0,9.0,12.0,9.0,0.0,0.0,21.0,9.0
77,1,0,25,1792,1844,53,3,6.0,0.0,0.0,47.0,6.0,0.0,0.0,47.0,6.0,0.0,6.0,0.0,0.0,47.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,47.0,6.0,0.0,6.0,0.0,0.0,47.0,6.0,0.0
77,1,0,26,1845,1870,26,1,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
77,1,0,27,1871,1896,26,3,0.0,12.0,0.0,14.0,0.0,12.0,0.0,14.0,12.0,12.0,0.0,12.0,0.0,14.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,14.0,12.0,12.0,0.0,12.0,0.0,14.0,12.0,12.0
77,1,0,28,1897,2351,455,1,21.0,115.0,43.0,276.0,21.0,57.5,21.5,92.0,59.666666666666664,79.0,21.0,57.5,21.5,56.0,44.0,79.0,0.0,43.5,8.5,70.866070866106298,39.550249331985533,35.0,1.0,2.0,2.0,3.0,3.0,2.0,21.0,101.0,30.0,191.0,114.0,114.0,21.0,14.0,13.0,29.0,21.0,44.0
77,1,0,29,2352,2582,231,3,38.0,153.0,0.0,40.0,19.0,76.5,0.0,13.333333333333334,63.666666666666664,76.5,19.0,76.5,0.0,14.0,85.0,76.5,1.0,11.5,0.0,8.993825042154695,32.314427462392437,11.5,2.0,2.0,0.0,3.0,3.0,2.0,20.0,88.0,0.0,24.0,88.0,88.0,18.0,65.0,0.0,2.0,18.0,65.0
77,1,0,30,2583,2601,19,1,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
77,1,0,31,2602,2629,28,3,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
77,1,0,32,2630,2764,135,1,0.0,43.0,50.0,42.0,0.0,21.5,25.0,21.0,93.0,93.0,0.0,21.5,25.0,21.0,93.0,93.0,0.0,0.5,8.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,22.0,33.0,28.0,93.0,93.0,0.0,21.0,17.0,14.0,93.0,93.0
77,1,0,33,2765,2859,95,3,0.0,47.0,0.0,48.0,0.0,47.0,0.0,24.0,47.0,47.0,0.0,47.0,0.0,24.0,47.0,47.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,47.0,0.0,32.0,47.0,47.0,0.0,47.0,0.0,16.0,47.0,47.0
77,1,0,34,2860,2881,22,1,10.0,0.0,0.0,12.0,10.0,0.0,0.0,12.0,10.0,0.0,10.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,12.0,10.0,0.0,10.0,0.0,0.0,12.0,10.0,0.0
77,1,0,35,2882,2999,118,3,61.0,0.0,0.0,57.0,61.0,0.0,0.0,57.0,61.0,0.0,61.0,0.0,0.0,57.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,61.0,0.0,0.0,57.0,61.0,0.0,61.0,0.0,0.0,57.0,61.0,0.0
77,1,3000,0,3000,3091,92,3,0.0,44.0,0.0,48.0,0.0,22.0,0.0,24.0,22.0,22.0,0.0,22.0,0.0,24.0,22.0,22.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,23.0,0.0,26.0,23.0,23.0,0.0,21.0,0.0,22.0,21.0,21.0
77,1,3000,1,3092,3265,174,1,0.0,27.0,0.0,147.0,0.0,13.5,0.0,147.0,13.5,13.5,0.0,13.5,0.0,147.0,13.5,13.5,0.0,9.5,0.0,0.0,9.5,9.5,0.0,2.0,0.0,1.0,2.0,2.0,0.0,23.0,0.0,147.0,23.0,23.0,0.0,4.0,0.0,147.0,4.0,4.0
77,1,3000,2,3266,3365,100,3,11.0,73.0,0.0,16.0,11.0,73.0,0.0,16.0,42.0,73.0,11.0,73.0,0.0,16.0,42.0,73.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,11.0,73.0,0.0,16.0,73.0,73.0,11.0,73.0,0.0,16.0,11.0,73.0
77,1,3000,3,3366,3377,12,1,9.0,0.0,0.0,3.0,9.0,0.0,0.0,3.0,9.0,0.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,3.0,9.0,0.0,9.0,0.0,0.0,3.0,9.0,0.0
